1.302935	3.885398	BAD APPLE
3.885398	6.101167	ROLAND LCD
6.101167	8.223312	VISUALS BY
8.223312	10.423477	EzoGaming
10.423477	12.795287	MIDI BY
12.795287	15.073472	FDG
15.233368	15.233368	Lyrics from
16.947424	16.947424	"Unsatisfactory
18.707890	18.707890	Pippin"
20.444884	20.444884	By Gasman
22.181878	22.181878	(I thought
23.887574	23.887574	it would be
25.624568	25.624568	funny if I
27.392858	27.392858	used that)
29.133764	29.133764	Drop an apple
29.988568	29.988568	core
30.418905	30.418905	and it turns
31.226763	31.226763	into a woman
32.523640	32.523640	then she waves
33.200442	33.200442	her arms
33.873331	33.873331	tells you off
34.538396	34.538396	for dropping
35.206543	35.206543	litter
35.547730	35.547730	now she's got
36.088169	36.088169	some flappy
36.889597	36.889597	wings
37.398906	37.398906	is it Batman?
38.663756	38.663756	maybe
39.068663	39.068663	but she's
39.326001	39.326001	got a cup
40.050612	40.050612	of tea
40.754799	40.754799	oh my gosh
41.525492	41.525492	she's
42.073193	42.073193	dropped
42.550475	42.550475	it
43.017976	43.017976	Suddenly
43.612623	43.612623	the shard's a
44.520241	44.520241	flamenco dancer
46.022506	46.022506	saying "
46.499788	46.499788	"come and
46.891003	46.891003	'ave a go"
47.806445	47.806445	but look out
48.342409	48.342409	she's got
48.843164	48.843164	a dagger
49.519966	49.519966	and she nearly
50.364990	50.364990	had that poor
51.256959	51.256959	woman's eye
52.152841	52.152841	out
52.579265	52.579265	all she really
53.400816	53.400816	wanted
53.858538	53.858538	was to
54.288874	54.288874	show
54.756376	54.756376	off her
55.194536	55.194536	christ
55.589663	55.589663	christmas
56.004351	56.004351	lan
56.442511	56.442511	lanterns
56.880672	56.880672	wave a
57.354042	57.354042	massive sword
58.242099	58.242099	at a tadpole
59.061694	59.061694	in the sky
60.000610	60.000610	but it swims
60.606992	60.606992	out of the way
61.694569	61.694569	well
61.952771	61.952771	in that case
62.570891	62.570891	nevermind
63.463838	63.463838	and there's
63.815932	63.815932	suddenly a
64.754847	64.754847	tree
65.196920	65.196920	and a
65.615520	65.615520	woman
66.055636	66.055636	with a fan
66.912397	66.912397	and she flaps
67.503131	67.503131	it up and down
68.641566	68.641566	at a petal
69.494414	69.494414	in the air
70.395186	70.395186	but it's actually
71.521885	71.521885	a boat
72.163477	72.163477	and the woman
73.028061	73.028061	in the boat
73.900470	73.900470	has a
74.315158	74.315158	bloody massive
75.089763	75.089763	scythe
75.633552	75.633552	the grim reaper
76.459015	76.459015	in a dress
77.382282	77.382282	now it cuts
78.016050	78.016050	the screen
78.442474	78.442474	in     
78.657642	78.657642	   half
79.131012	79.131012	aren't those
79.522227	79.522227	earrings
79.933002	79.933002	really big?
80.797587	80.797587	look at me!!
81.447003	81.447003	i've got a
82.014265	82.014265	sword
82.581526	82.581526	now i'll point
83.027511	83.027511	it over
83.833413	83.833413	<------- there
84.300915	84.300915	and this girl
84.942507	84.942507	is so
85.400229	85.400229	depressed
86.022260	86.022260	that she set
86.675589	86.675589	her wrists
87.070716	87.070716	on fire
87.786639	87.786639	and is going
88.623838	88.623838	to set fire
89.543193	89.543193	to the ribbon
90.372568	90.372568	in her hair
91.342781	91.342781	but at least
91.929603	91.929603	we're nice
92.344291	92.344291	and warm
93.036741	93.036741	and i think
93.607914	93.607914	this girl
94.096933	94.096933	agrees
94.761998	94.761998	but
94.934133	94.934133	i don't
95.321435	95.321435	know why
95.802629	95.802629	they're dressed
96.444222	96.444222	as a
96.905855	96.905855	pot plant
97.355752	97.355752	and a
97.764571	97.764571	bull
98.257502	98.257502	there's a funny
99.082965	99.082965	glowing ball
99.971023	99.971023	and i wonder
100.765189	100.765189	what it is
101.708016	101.708016	doesn't want
102.333960	102.333960	to shake
102.736911	102.736911	my hand
103.413713	103.413713	well
103.650398	103.650398	i'm so
103.998579	103.998579	offended now
105.176135	105.176135	and this girl
105.833376	105.833376	is sulking
106.459320	106.459320	too
106.905305	106.905305	but she's having
107.777714	107.777714	second thoughts
108.669683	108.669683	and she wishes
109.499059	109.499059	that she'd
109.935263	109.935263	gone to the
110.804738	110.804738	party
111.246810	111.246810	on the sun
112.603348	112.603348	[instrumental]
125.806846	125.806846	shoutouts to
126.111994	126.111994	eggnog
126.386822	126.386822	look at all the
127.248473	127.248473	leaves
127.690545	127.690545	sweep them up
128.517965	128.517965	now
128.934608	128.934608	wait a minute
129.857875	129.857875	maybe if i
130.698987	130.698987	smoke
131.152796	131.152796	this one
131.579220	131.579220	it'll make
132.271670	132.271670	me dizzy
132.807635	132.807635	and i'm
133.331862	133.331862	dancing like
133.969542	133.969542	a dad
134.638520	134.638520	in a disco
135.956914	135.956914	and a tiny
136.801937	136.801937	wizard's come
137.447442	137.447442	to pose
138.085122	138.085122	like off
138.519370	138.519370	Char           
138.906673	138.906673	Charlies       
139.419164	139.419164	Charlies An    
139.826028	139.826028	Charlies Angels
140.234847	140.234847	UnconvincingEye
141.553241	141.553241	is a girl's
142.460859	142.460859	umbrella
143.305883	143.305883	would you
143.693186	143.693186	like to
144.197853	144.197853	see a trick
145.046789	145.046789	just like
145.500598	145.500598	David
145.903549	145.903549	Bloody
146.376919	146.376919	Copperfield
147.237591	147.237591	Is it my
147.863535	147.863535	turn now?
148.559897	148.559897	Better spin
149.385361	149.385361	round
149.850906	149.850906	quickly
150.257769	150.257769	Gonna skip
150.715491	150.715491	right past
151.138003	151.138003	the next
151.955642	151.955642	girl
152.151249	152.151249	'cause
152.444660	152.444660	shes           
152.878908	152.878908	shes too       
153.293596	153.293596	shes too bor   
153.766966	153.766966	shes too boring
154.175785	154.175785	badly fitting
155.067755	155.067755	wings
155.498091	155.498091	write a letter
156.135771	156.135771	of complaint
157.237041	157.237041	but the
157.636080	157.636080	pen runs
158.015558	158.015558	out of
158.520225	158.520225	ink
158.887967	158.887967	so she
159.365249	159.365249	throws it
159.811234	159.811234	like a
160.233746	160.233746	dart
160.707116	160.707116	and a viking
161.534535	161.534535	takes a drink
162.461714	162.461714	from this
162.864666	162.864666	sort of
163.291090	163.291090	violin
164.190884	164.190884	but
164.374755	164.374755	some bugger
165.043732	165.043732	drank the rest
165.916141	165.916141	and there's
166.303443	166.303443	hardly
166.763121	166.763121	any left
